agent_type,coverage_mode,coverage_m2,max_nozzles,source,active
FM-200,STANDARD,95.3,20,"ANSUL 442940-01 Section 5 pages 5-5 to 5-10 and 5-19",True
FK-5-1-12,STANDARD,96.0,20,"ANSUL 451540-01 Section 5 pages 5-5 to 5-10 and 5-19",True
