agent_type,temperature_c,temperature_f,concentration_pct,flooding_factor_metric,flooding_factor_imperial,source
FK-5-1-12,-6.667,20,4.52,0.734222,0.045836,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-1.111,30,4.52,0.716602,0.044736,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,4.444,40,4.52,0.700584,0.043736,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,10.0,50,4.52,0.684565,0.042736,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,15.556,60,4.52,0.670148,0.041836,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,21.111,70,4.52,0.655732,0.040936,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,26.667,80,4.52,0.642917,0.040136,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,32.222,90,4.52,0.630102,0.039336,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,37.778,100,4.52,0.617288,0.038536,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,43.333,110,4.52,0.606075,0.037836,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,48.889,120,4.52,0.594862,0.037136,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,54.444,130,4.52,0.580246,0.036224,calculo_supresion.xlsx tabla_temperatura corrected_decimal_outlier
FK-5-1-12,60.0,140,4.52,0.572436,0.035736,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,65.556,150,4.52,0.562825,0.035136,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,71.111,160,4.52,0.551612,0.034436,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,76.667,170,4.52,0.542001,0.033836,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,82.222,180,4.52,0.533991,0.033336,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,87.778,190,4.52,0.52438,0.032736,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,93.333,200,4.52,0.516371,0.032236,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,98.889,210,4.52,0.508362,0.031736,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,104.444,220,4.52,0.498751,0.031136,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-28.889,-20,4.6,0.82463,0.05148,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-23.333,-10,4.6,0.803486,0.05016,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-17.778,0,4.6,0.783623,0.04892,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-12.222,10,4.6,0.765362,0.04778,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-6.667,20,4.6,0.747422,0.04666,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-1.111,30,4.6,0.729481,0.04554,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,4.444,40,4.6,0.713142,0.04452,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,10.0,50,4.6,0.696803,0.0435,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,15.556,60,4.6,0.682066,0.04258,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,21.111,70,4.6,0.667329,0.04166,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,26.667,80,4.6,1.940156,0.12112,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,32.222,90,4.6,0.641059,0.04002,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,37.778,100,4.6,0.627924,0.0392,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,43.333,110,4.6,0.61639,0.03848,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,48.889,120,4.6,0.604857,0.03776,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,54.444,130,4.6,0.476838,0.029768,calculo_supresion.xlsx tabla_temperatura corrected_decimal_outlier
FK-5-1-12,60.0,140,4.6,0.582111,0.03634,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,65.556,150,4.6,0.571859,0.0357,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,71.111,160,4.6,0.560646,0.035,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,76.667,170,4.6,0.551035,0.0344,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,82.222,180,4.6,0.542385,0.03386,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,87.778,190,4.6,0.532774,0.03326,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,93.333,200,4.6,0.524444,0.03274,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,98.889,210,4.6,0.516115,0.03222,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,104.444,220,4.6,0.506824,0.03164,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-28.889,-20,4.7,0.843532,0.05266,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-23.333,-10,4.7,0.822068,0.05132,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-17.778,0,4.7,0.801564,0.05004,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-12.222,10,4.7,0.782662,0.04886,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-6.667,20,4.7,0.764401,0.04772,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,-1.111,30,4.7,0.74614,0.04658,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,4.444,40,4.7,0.729481,0.04554,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,10.0,50,4.7,0.712822,0.0445,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,15.556,60,4.7,0.697764,0.04356,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,21.111,70,4.7,0.682707,0.04262,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,26.667,80,4.7,0.324118,0.020234,calculo_supresion.xlsx tabla_temperatura corrected_decimal_outlier
FK-5-1-12,32.222,90,4.7,0.655796,0.04094,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,37.778,100,4.7,0.64234,0.0401,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,43.333,110,4.7,0.630487,0.03936,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,48.889,120,4.7,0.618633,0.03862,calculo_supresion.xlsx tabla_temperatura
FK-5-1-12,54.444,130,4.7,0.373807,0.023336,calculo_supresion.xlsx tabla_temperatura corrected_decimal_outlier
FK-5-1-12,60.0,140,4.7,0.595566,0.03718,calculo_supresion.xlsx tabla_temperatura
